,number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,closed_code,resolved_by,resolved_at,closed_at,resolution_time,categoria_num
3,INC0000045,Closed,False,0,0,4,True,Caller 2403,Opened by  8,29/2/2016 01:16,908,5/3/2016 12:00,Phone,Location 143,Category 55,Subcategory 170,2 - Medium,2 - Medium,3 - Moderate,Group 56,,True,False,Do Not Notify,code 5,Resolved by 149,29/2/2016 11:29,5/3/2016 12:00,10.216666666666667,55.0
12,INC0000047,Closed,False,1,0,8,True,Caller 2403,Opened by  397,29/2/2016 04:40,908,6/3/2016 10:00,Phone,Location 165,Category 40,Subcategory 215,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,True,False,Do Not Notify,code 5,Resolved by 81,1/3/2016 09:52,6/3/2016 10:00,29.2,40.0
19,INC0000057,Closed,False,0,0,6,True,Caller 4416,Opened by  8,29/2/2016 06:10,908,6/3/2016 03:00,Phone,Location 204,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,True,False,Do Not Notify,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00,20.75,20.0
23,INC0000060,Closed,False,0,0,3,True,Caller 4491,Opened by  180,29/2/2016 06:38,908,7/3/2016 13:00,Phone,Location 204,Category 9,Subcategory 97,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,False,Do Not Notify,code 3,Resolved by 113,2/3/2016 12:06,7/3/2016 13:00,53.46666666666667,9.0
31,INC0000062,Closed,False,1,0,7,False,Caller 3765,Opened by  180,29/2/2016 06:58,908,5/3/2016 16:00,Phone,Location 93,Category 53,Subcategory 168,1 - High,2 - Medium,2 - High,Group 23,,True,False,Do Not Notify,code 7,Resolved by 62,29/2/2016 15:51,5/3/2016 16:00,8.883333333333333,53.0
39,INC0000063,Closed,False,1,0,7,True,Caller 2146,Opened by  180,29/2/2016 07:08,908,5/3/2016 17:00,Phone,Location 93,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,Group 23,,True,False,Do Not Notify,code 7,Resolved by 62,29/2/2016 16:01,5/3/2016 17:00,8.883333333333333,20.0
48,INC0000064,Closed,False,1,0,8,True,Caller 2838,Opened by  131,29/2/2016 07:10,908,8/3/2016 17:00,Phone,Location 143,Category 53,Subcategory 168,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,True,False,Do Not Notify,code 6,Resolved by 71,3/3/2016 16:00,8/3/2016 17:00,80.83333333333333,53.0
61,INC0000065,Closed,False,6,0,13,True,Caller 5323,Opened by  131,29/2/2016 07:38,908,7/3/2016 16:00,Phone,Location 108,Category 45,Subcategory 94,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 216,True,False,Do Not Notify,code 1,Resolved by 197,2/3/2016 15:21,7/3/2016 16:00,55.71666666666667,45.0
65,INC0000066,Closed,False,1,0,3,True,Caller 3796,Opened by  24,29/2/2016 08:03,908,7/3/2016 15:00,Phone,Location 161,Category 55,Subcategory 185,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 5,Resolved by 208,2/3/2016 14:37,7/3/2016 15:00,54.56666666666667,55.0
76,INC0000067,Closed,False,1,0,10,True,Caller 442,Opened by  180,29/2/2016 08:03,908,7/3/2016 12:00,Phone,Location 143,Category 9,Subcategory 110,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 236,True,False,Do Not Notify,code 1,Resolved by 215,2/3/2016 11:11,7/3/2016 12:00,51.13333333333333,9.0
84,INC0000070,Closed,False,1,0,9,False,Caller 3757,Opened by  131,29/2/2016 08:11,908,24/3/2016 18:40,Phone,Location 46,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 29,Resolver 31,True,False,Do Not Notify,code 11,Resolved by 30,8/3/2016 09:55,24/3/2016 18:40,193.73333333333332,9.0
92,INC0000071,Closed,False,0,0,7,True,Caller 271,Opened by  180,29/2/2016 08:12,908,6/3/2016 11:00,Phone,Location 161,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,True,False,Do Not Notify,code 5,Resolved by 227,1/3/2016 10:38,6/3/2016 11:00,26.433333333333334,9.0
98,INC0000073,Closed,False,1,0,6,True,Caller 2519,Opened by  40,29/2/2016 08:22,908,6/3/2016 16:00,Phone,Location 42,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 11,Resolved by 208,1/3/2016 15:37,6/3/2016 16:00,31.25,53.0
104,INC0000074,Closed,False,0,0,19,False,Caller 527,Opened by  433,29/2/2016 08:23,908,16/4/2016 15:07,Phone,Location 204,Category 45,Subcategory 220,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 193,True,True,Do Not Notify,code 6,Resolved by 158,11/4/2016 14:39,16/4/2016 15:07,1014.2666666666667,45.0
107,INC0000076,Closed,False,0,0,2,True,Caller 2949,Opened by  180,29/2/2016 08:25,908,5/3/2016 17:00,Phone,Location 93,Category 42,Subcategory 224,2 - Medium,2 - Medium,3 - Moderate,Group 23,,True,False,Do Not Notify,code 5,Resolved by 62,29/2/2016 16:27,5/3/2016 17:00,8.033333333333333,42.0
113,INC0000077,Closed,False,0,0,5,True,Caller 3304,Opened by  180,29/2/2016 08:27,908,5/3/2016 10:00,Phone,Location 108,Category 32,Subcategory 9,2 - Medium,2 - Medium,3 - Moderate,Group 70,,True,False,Do Not Notify,code 6,Resolved by 85,29/2/2016 09:04,5/3/2016 10:00,0.6166666666666667,32.0
